version,embedding_key,embedding_label,ratio,n_participants,n_folds,K_mode,tau_mean,scoring_convention,rounded_primary,item_r_mean,item_r_ci_lower,item_r_ci_upper,item_mae_mean,item_mae_ci_lower,item_mae_ci_upper,item_rmse_mean,item_rmse_ci_lower,item_rmse_ci_upper,rounded_accuracy_mean,rounded_accuracy_ci_lower,rounded_accuracy_ci_upper,rounded_mae_mean,rounded_mae_ci_lower,rounded_mae_ci_upper,profile_r_mean,profile_r_ci_lower,profile_r_ci_upper,trait_r_mean,trait_r_mean_ci_lower,trait_r_mean_ci_upper,jaccard_mean_vs_s_old,jaccard_min_vs_s_old,jaccard_max_vs_s_old,selection_changed_any_fold
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.31669863236813034,0.31105311020564985,0.3223441545306108,1.0165343509586215,1.0099659449778107,1.0231027569394324,1.269848068390532,1.2620742900351276,1.2776218467459364,0.3186896245099228,0.3154401908601675,0.32193905815967805,0.9879552160381552,0.9810652672917441,0.9948451647845662,0.7243954939545822,0.7133191071519872,0.7354718807571773,0.5747638930240582,0.5608972519756763,0.58863053407244,0.25,0.25,0.25,True
B1_fixed,e5_base_v2,E5-base-v2,10,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.2455896479502723,0.2397681176175914,0.2514111782829532,1.061176077283792,1.0543056762608096,1.0680464783067742,1.2855175807047359,1.278082761277747,1.2929524001317247,0.276577341255406,0.27293390857131145,0.28022077393950057,1.0397235358312114,1.032361903650713,1.0470851680117097,0.6703710653494042,0.658316088127707,0.6824260425711013,0.4455193927198039,0.4312293023112835,0.4598094831283243,0.17647058823529413,0.17647058823529413,0.17647058823529413,True
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.2984767851163499,0.2928953568434946,0.3040582133892052,1.0020504141288333,0.9957041825211562,1.0083966457365103,1.2641824367930026,1.2566976441962006,1.2716672293898046,0.3252980881936866,0.32236238412324086,0.32823379226413235,0.9805666707085404,0.9739299961539836,0.9872033452630973,0.7484268542480133,0.7381870664865509,0.7586666420094756,0.657470368097711,0.6454767170690308,0.6694640191263912,0.11111111111111112,0.1111111111111111,0.1111111111111111,True
B1_fixed,mpnet_base_v2,MPNet-base-v2,10,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.3506870790084507,0.34489873591457004,0.35647542210233135,0.9835946986214231,0.9770652684641217,0.9901241287787246,1.2738312302454537,1.2657763491946699,1.2818861112962376,0.35098419627339233,0.3480054717879066,0.3539629207588781,0.9623014429489511,0.9554401347441696,0.9691627511537327,0.7715351048489159,0.761357824600915,0.7817123850969168,0.6776437346024969,0.6609058983904588,0.6943815708145351,0.17647058823529413,0.17647058823529413,0.17647058823529413,True
B1_fixed,sbert_original,SBERT (original),10,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.2763146846497246,0.27068891040644605,0.2819404588930031,1.0207648330386812,1.0142822226253834,1.027247443451979,1.2918093434716502,1.2841123086316293,1.2995063783116712,0.32187462107433,0.3191282952241522,0.3246209469245078,1.003524513964674,0.9967353754046301,1.0103136525247178,0.69283003436438,0.6812128796696048,0.7044471890591552,0.6429865301648989,0.6149553978563443,0.6710176624734535,1.0,1.0,1.0,False
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.4249653845750648,0.41899745605763433,0.4309333130924952,0.9166905006903018,0.9109226111362244,0.9224583902443791,1.1358680672626853,1.1292662132455629,1.1424699212798077,0.337712414904121,0.3344360567763159,0.34098877303192615,0.8887075819778621,0.882456674125578,0.8949584898301463,0.8986769131912851,0.8934296454632225,0.9039241809193477,0.8755839258191361,0.8700099587210474,0.8811578929172249,0.30434782608695654,0.30434782608695654,0.30434782608695654,True
B1_fixed,e5_base_v2,E5-base-v2,30,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.3953248714794517,0.38945827008392697,0.4011914728749765,0.953892052240616,0.9477137711491954,0.9600703333320366,1.1541961954182463,1.1475044206659195,1.160887970170573,0.30179285974120457,0.29840435015761585,0.3051813693247933,0.9285558384867224,0.9219492181387235,0.9351624588347213,0.8891904375012329,0.8835037642699451,0.8948771107325207,0.8126667110494645,0.7989306924953322,0.8264027296035968,0.22448979591836732,0.22448979591836735,0.22448979591836735,True
B1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.40667140269627056,0.40120627231603684,0.4121365330765043,0.9204412234606683,0.9144919774447587,0.9263904694765778,1.167711263460148,1.1607432369628519,1.1746792899574443,0.3501844826690225,0.3472713243226471,0.3530976410153979,0.8972925219560361,0.8910460278627307,0.9035390160493416,0.9117246622700782,0.9069911012120554,0.916458223328101,0.8741093728736242,0.8666918757695719,0.8815268699776766,0.2,0.2,0.2,True
B1_fixed,mpnet_base_v2,MPNet-base-v2,30,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.4274966952901407,0.4218317605497168,0.4331616300305646,0.9192615632102146,0.9133188907106136,0.9252042357098156,1.1927527369249145,1.185530701377593,1.1999747724722358,0.3674323130489009,0.36443703694385327,0.3704275891539485,0.8974068492438809,0.8911264900507665,0.9036872084369953,0.9111829661221952,0.9063157660677355,0.9160501661766549,0.8824990150247194,0.8766322893185566,0.8883657407308821,0.30434782608695654,0.30434782608695654,0.30434782608695654,True
B1_fixed,sbert_original,SBERT (original),30,2749,5,7,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.3661990465194644,0.36080401483268043,0.37159407820624835,0.9488408283833026,0.9427501252023087,0.9549315315642966,1.224013956532487,1.21673295369641,1.231294959368564,0.35993348230525385,0.3569965794825504,0.3628703851279573,0.924076287481162,0.9176867740573941,0.9304658009049299,0.880140808789208,0.8744483546510919,0.885833262927324,0.8560252250226723,0.8438706089901334,0.8681798410552112,0.9354838709677418,0.9354838709677419,0.9354838709677419,True
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,2749,5,10,0.09999999999999998,heldout_unselected_items_only_phase2_convention,False,0.4657167848030815,0.4590333261383618,0.4724002434678012,0.8956190095449703,0.8897315112264474,0.9015065078634932,1.1007080059650487,1.0940790126265196,1.1073369993035778,0.33738086576937065,0.3338143823233335,0.3409473492154078,0.8675372862859221,0.8610923261542218,0.8739822464176223,0.9304602126604729,0.9266683125279129,0.9342521127930328,0.9458046419337498,0.9434174230680937,0.9481918607994059,0.5151515151515151,0.5151515151515151,0.5151515151515151,True
